Employee ID,Leave Date,Leave Type,Sandwich Pattern,Connected Dates
186104,2024-05-12,non sandwich leave,0,['2024-05-12']
51367,2024-05-25,non sandwich leave,0,['2024-05-25']
416501,2024-06-09,non sandwich leave,0,['2024-06-09']
138572,2024-10-21,sandwich leave,Monday extending weekend,"['2024-10-20', '2024-10-21']"
327511,2024-09-12,non sandwich leave,0,['2024-09-12']
107410,2024-02-21,non sandwich leave,0,['2024-02-21']
261982,2024-01-08,sandwich leave,Monday extending weekend,"['2024-01-07', '2024-01-08']"
759847,2024-05-10,sandwich leave,Friday extending weekend,"['2024-05-10', '2024-05-11']"
462341,2024-08-10,non sandwich leave,0,['2024-08-10']
316400,2024-09-22,non sandwich leave,0,['2024-09-22']
316400,2024-02-03,non sandwich leave,0,['2024-02-03']
268976,2024-03-03,non sandwich leave,0,['2024-03-03']
557429,2024-05-05,non sandwich leave,0,['2024-05-05']
88132,2024-07-12,sandwich leave,Friday extending weekend,"['2024-07-12', '2024-07-13']"
802137,2024-05-25,non sandwich leave,0,['2024-05-25']
894068,2024-04-02,non sandwich leave,0,['2024-04-02']
988174,2024-02-04,non sandwich leave,0,['2024-02-04']
259483,2024-06-07,sandwich leave,Friday extending weekend,"['2024-06-07', '2024-06-08']"
748748,2024-02-10,non sandwich leave,0,['2024-02-10']
576593,2024-06-22,non sandwich leave,0,['2024-06-22']
812102,2024-01-09,non sandwich leave,0,['2024-01-09']
136357,2024-06-01,non sandwich leave,0,['2024-06-01']
990368,2024-01-23,non sandwich leave,0,['2024-01-23']
156719,2024-06-06,non sandwich leave,0,['2024-06-06']
337384,2024-03-27,non sandwich leave,0,['2024-03-27']
717312,2024-01-28,non sandwich leave,0,['2024-01-28']
403725,2024-10-11,sandwich leave,Friday extending weekend,"['2024-10-11', '2024-10-12']"
709010,2024-10-14,sandwich leave,Monday extending weekend,"['2024-10-13', '2024-10-14']"
427233,2024-01-03,non sandwich leave,0,['2024-01-03']
562875,2024-06-30,non sandwich leave,0,['2024-06-30']
822672,2024-02-17,non sandwich leave,0,['2024-02-17']
401936,2024-03-05,non sandwich leave,0,['2024-03-05']
784271,2024-09-03,sandwich leave,Tuesday after Monday holiday,"['2024-09-02', '2024-09-03']"
390949,2024-12-11,non sandwich leave,0,['2024-12-11']
859059,2024-04-09,non sandwich leave,0,['2024-04-09']
657259,2024-03-05,non sandwich leave,0,['2024-03-05']
310101,2024-01-22,sandwich leave,Monday extending weekend,"['2024-01-21', '2024-01-22']"
572495,2024-11-22,sandwich leave,Friday extending weekend,"['2024-11-22', '2024-11-23']"
619762,2024-11-29,sandwich leave,Friday after Thursday holiday,"['2024-11-28', '2024-11-29']"
37658,2024-07-23,non sandwich leave,0,['2024-07-23']
405540,2024-03-26,non sandwich leave,0,['2024-03-26']
557029,2024-11-16,non sandwich leave,0,['2024-11-16']
615191,2024-06-02,non sandwich leave,0,['2024-06-02']
487042,2024-06-01,non sandwich leave,0,['2024-06-01']
768504,2024-05-30,non sandwich leave,0,['2024-05-30']
165339,2024-12-11,non sandwich leave,0,['2024-12-11']
947568,2024-11-28,non sandwich leave,0,['2024-11-28']
261060,2024-02-13,non sandwich leave,0,['2024-02-13']
483574,2024-07-31,non sandwich leave,0,['2024-07-31']
349830,2024-07-01,sandwich leave,Monday extending weekend,"['2024-06-30', '2024-07-01']"
77778,2024-09-04,non sandwich leave,0,['2024-09-04']
458782,2024-08-30,sandwich leave,Friday extending weekend,"['2024-08-30', '2024-08-31']"
287237,2024-02-03,non sandwich leave,0,['2024-02-03']
761523,2024-08-17,non sandwich leave,0,['2024-08-17']
467295,2024-04-26,sandwich leave,Friday extending weekend,"['2024-04-26', '2024-04-27']"
601870,2024-10-14,sandwich leave,Monday extending weekend,"['2024-10-13', '2024-10-14']"
843168,2024-10-15,sandwich leave,Tuesday after Monday holiday,"['2024-10-14', '2024-10-15']"
156771,2024-01-27,non sandwich leave,0,['2024-01-27']
125015,2024-02-22,non sandwich leave,0,['2024-02-22']
351227,2024-09-12,non sandwich leave,0,['2024-09-12']
355392,2024-05-25,non sandwich leave,0,['2024-05-25']
204021,2024-06-08,non sandwich leave,0,['2024-06-08']
167075,2024-09-24,non sandwich leave,0,['2024-09-24']
785592,2024-11-23,non sandwich leave,0,['2024-11-23']
760568,2024-03-26,non sandwich leave,0,['2024-03-26']
906093,2024-03-01,sandwich leave,Friday extending weekend,"['2024-03-01', '2024-03-02']"
982416,2024-08-19,sandwich leave,Monday extending weekend,"['2024-08-18', '2024-08-19']"
112363,2024-05-02,non sandwich leave,0,['2024-05-02']
582338,2024-10-08,non sandwich leave,0,['2024-10-08']
350425,2024-02-12,sandwich leave,Monday extending weekend,"['2024-02-11', '2024-02-12']"
72956,2024-12-11,non sandwich leave,0,['2024-12-11']
887979,2024-01-17,non sandwich leave,0,['2024-01-17']
330680,2024-04-13,non sandwich leave,0,['2024-04-13']
219891,2024-01-19,sandwich leave,Friday extending weekend,"['2024-01-19', '2024-01-20']"
205031,2024-05-21,non sandwich leave,0,['2024-05-21']
191208,2024-07-29,sandwich leave,Monday extending weekend,"['2024-07-28', '2024-07-29']"
973941,2024-07-05,sandwich leave,Friday after Thursday holiday,"['2024-07-04', '2024-07-05']"
628125,2024-03-15,sandwich leave,Friday extending weekend,"['2024-03-15', '2024-03-16']"
61228,2024-08-21,non sandwich leave,0,['2024-08-21']
569007,2024-02-21,non sandwich leave,0,['2024-02-21']
49990,2024-06-21,sandwich leave,Friday extending weekend,"['2024-06-21', '2024-06-22']"
604048,2024-09-17,non sandwich leave,0,['2024-09-17']
779946,2024-03-29,sandwich leave,Friday extending weekend,"['2024-03-29', '2024-03-30']"
507200,2024-01-21,non sandwich leave,0,['2024-01-21']
465919,2024-11-23,non sandwich leave,0,['2024-11-23']
433113,2024-06-10,sandwich leave,Monday extending weekend,"['2024-06-09', '2024-06-10']"
176021,2024-10-22,non sandwich leave,0,['2024-10-22']
865925,2024-06-21,sandwich leave,Friday extending weekend,"['2024-06-21', '2024-06-22']"
467464,2024-01-23,non sandwich leave,0,['2024-01-23']
136096,2024-06-21,sandwich leave,Friday extending weekend,"['2024-06-21', '2024-06-22']"
351342,2024-01-19,sandwich leave,Friday extending weekend,"['2024-01-19', '2024-01-20']"
663184,2024-03-19,non sandwich leave,0,['2024-03-19']
968819,2024-07-16,non sandwich leave,0,['2024-07-16']
218759,2024-05-05,non sandwich leave,0,['2024-05-05']
